student_id,attendance_pct,study_hours,sleep_hours,final_score,gpa,screentime_hours,absences
STU001,95,12,7,82,3.2,3,2
STU002,98,18,8,94,3.8,2,1
STU003,88,8,6,68,2.7,5,4
STU004,75,4,5,55,2.1,7,9
STU005,92,10,7,76,2.9,4,3
STU006,100,22,8,98,4.0,1,0
STU007,84,6,5,60,2.3,6,7
STU008,96,15,7,88,3.5,3,1
STU009,91,9,7,74,2.8,4,3
STU010,78,3,4,50,2.0,8,10
STU011,99,20,8,95,3.9,2,0
STU012,85,5,6,62,2.4,6,6
STU013,93,14,7,80,3.1,3,2
STU014,90,11,7,78,3.0,4,3
STU015,97,16,8,90,3.6,2,1
STU016,82,7,6,65,2.5,5,7
STU017,94,13,7,81,3.2,3,2
STU018,89,10,7,77,2.9,4,3
STU019,76,2,5,52,2.0,8,9
STU020,95,17,8,91,3.7,2,1
STU021,100,24,9,100,4.0,1,0
STU022,87,6,6,64,2.5,6,5
STU023,91,12,7,79,3.0,4,3
STU024,93,11,7,82,3.3,3,2
STU025,98,19,8,93,3.8,2,1
STU026,80,4,5,58,2.2,7,8
STU027,96,15,7,89,3.6,3,2
STU028,92,10,7,79,3.1,4,3
STU029,85,8,6,69,2.7,5,5
STU030,99,21,8,96,3.9,2,1
